timestamp,emg0,emg1,emg2,emg3,pkt_time_ns
7162382,2480,1293,1549,2019,1745203091858221862
7163382,2536,1317,1560,2015,1745203091858221862
7164382,2578,1347,1588,2005,1745203091858221862
7165382,2621,1368,1630,1998,1745203091858221862
7166382,2652,1372,1678,1987,1745203091858221862
7167382,2675,1356,1732,1980,1745203091858221862
7168382,2689,1314,1793,1971,1745203091858221862
7169383,2669,1245,1857,1964,1745203091858221862
7170383,2592,1165,1913,1956,1745203091858221862
7171383,2460,1077,1952,1953,1745203091858221862
7172384,2266,987,1953,1951,1745203091858221862
7173384,2048,896,1916,1955,1745203091858221862
7174383,1832,804,1838,1964,1745203091858221862
7175383,1644,724,1737,1976,1745203091858221862
7176383,1521,665,1601,1986,1745203091858221862
7177384,1453,626,1465,1993,1745203091858221862
7178383,1449,612,1328,1998,1745203091858221862
7179383,1506,628,1204,1995,1745203091858221862
7180383,1602,669,1096,1987,1745203091858221862
7181384,1749,730,1019,1980,1745203091858221862
7182384,1923,804,982,1981,1745203091858221862
7183384,2099,902,988,1992,1745203091858221862
7184384,2251,1030,1024,2006,1745203091858221862
7185384,2384,1164,1088,2021,1745203091858221862
7186384,2482,1283,1169,2029,1745203091858221862
7187384,2557,1374,1270,2029,1745203091858221862
7188384,2602,1429,1388,2019,1745203091858221862
7189384,2616,1445,1520,2008,1745203091858221862
7190384,2555,1424,1656,1989,1745203091858221862
7191384,2384,1367,1800,1968,1745203091858221862
7192384,2132,1282,1926,1950,1745203091858221862
7193385,1834,1188,2029,1936,1745203091858221862
7194385,1551,1099,2116,1928,1745203091858221862
7195385,1334,1028,2185,1926,1745203091858221862
7196385,1187,981,2233,1933,1745203091858221862
7197385,1108,959,2257,1943,1745203091858221862
7198385,1096,958,2253,1963,1745203091858221862
7199385,1154,974,2217,1990,1745203091858221862
7200385,1265,994,2155,2024,1745203091858221862
7201385,1436,1026,2078,2058,1745203091858221862
7202385,1641,1069,1996,2091,1745203091858221862
7203385,1865,1136,1924,2122,1745203091858221862
7204385,2075,1216,1878,2149,1745203091858221862
7205386,2253,1287,1848,2165,1745203091858221862
7206386,2396,1337,1857,2166,1745203091858221862
7207386,2507,1350,1888,2155,1745203091858221862
7208386,2578,1318,1944,2145,1745203091858221862
7209386,2599,1251,1994,2137,1745203091858221862
7210386,2532,1153,2032,2133,1745203091858221862
7211386,2346,1038,2043,2128,1745203091858221862
7212386,2062,905,2020,2122,1745203091858221862
7213386,1714,769,1971,2115,1745203091858221862
7214386,1364,632,1902,2113,1745203091858221862
7215386,1051,511,1821,2116,1745203091858221862
7216386,827,419,1730,2115,1745203091909341760
7217387,660,334,1630,2120,1745203091909341760
7218387,528,268,1535,2122,1745203091909341760
7219387,431,216,1448,2120,1745203091909341760
7220387,347,175,1386,2117,1745203091909341760
7221387,281,154,1367,2110,1745203091909341760
7222387,268,163,1395,2108,1745203091909341760
7223387,389,205,1470,2105,1745203091909341760
7224387,600,266,1566,2106,1745203091909341760
7225387,845,323,1688,2109,1745203091909341760
7226387,1052,360,1812,2116,1745203091909341760
7227387,1180,362,1928,2122,1745203091909341760
7228387,1198,329,2015,2122,1745203091909341760
7229388,1083,262,2077,2118,1745203091909341760
7230388,865,201,2109,2108,1745203091909341760
7231388,653,156,2117,2097,1745203091909341760
7232388,507,124,2108,2082,1745203091909341760
7233388,393,100,2086,2072,1745203091909341760
7234388,305,84,2058,2072,1745203091909341760
7235388,242,70,2021,2071,1745203091909341760
7236388,195,62,1976,2073,1745203091909341760
7237388,159,54,1918,2080,1745203091909341760
7238388,132,46,1844,2082,1745203091909341760
7239388,107,41,1777,2089,1745203091909341760
7240388,91,38,1705,2093,1745203091909341760
7241389,77,37,1632,2101,1745203091909341760
7242389,67,33,1561,2100,1745203091909341760
7243389,58,32,1500,2101,1745203091909341760
7244389,132,38,1431,2106,1745203091909341760
7245389,319,82,1361,2108,1745203091909341760
7246389,528,140,1286,2107,1745203091909341760
7247389,701,184,1214,2104,1745203091909341760
7248389,773,194,1158,2116,1745203091909341760
7249389,717,167,1122,2139,1745203091909341760
7250389,552,129,1108,2157,1745203091909341760
7251389,422,99,1126,2169,1745203091909341760
7252389,321,79,1179,2170,1745203091909341760
7253390,248,64,1261,2165,1745203091909341760
7254390,193,54,1362,2150,1745203091909341760
7255390,152,46,1459,2128,1745203091909341760
7256390,121,41,1537,2100,1745203091909341760
7257390,98,36,1592,2072,1745203091909341760
7258390,80,34,1598,2050,1745203091909341760
7259390,67,30,1554,2025,1745203091909341760
7260390,57,29,1480,2000,1745203091909341760
7261390,50,28,1380,1979,1745203091909341760
7262390,45,27,1272,1964,1745203091909341760
7263390,52,30,1172,1946,1745203091909341760
7264390,180,75,1095,1933,1745203091909341760
7265391,392,154,1056,1924,1745203091909341760
7266391,585,237,1058,1917,1745203091909341760
7267391,722,306,1108,1921,1745203091909341760
7268391,749,334,1202,1933,1745203091909341760
7269391,649,318,1325,1962,1745203091909341760
